Name,Source(s) Derived From,Natural or Artificial?
Allithiamine,Plant Sources,Natural
Allspice,Plant Sources,Natural
Allspice Oil,Plant Sources,Natural
Allyl Sulfides,Plant Sources,Natural
Almond Butter,Plant Sources,Natural
Almond Extract,Plant Sources,Natural
Almond Flour,Plant Sources,Natural
Almond Oil,Plant Sources,Natural
Almonds,Plant Sources,Natural
Aloe Vera,Plant Sources,Natural
Alpha Amylase,Animal Sources,Natural
Alpha Galactosidase,Other Natural Sources,Natural
Alpha Glactosidase,"Animal Sources, Chemical (Synthetic) SourcesThe pharmaceutical company Genzyme produces synthetic agalsidase beta under the brand name Fabrazyme for treatment of Fabry's disease. [1]",Both (Can be derived from Natural & Artificial Sources)
Alpha Ketoglutaric Acid,Other Natural Sources,Natural
Alpha Ketoisocaproate,Other Natural Sources,Natural
Alpha Lactalbumin,Animal Sources,Natural
Alpha Linolenic Acid,Plant Sources,Natural
Althaea,Plant Sources,Natural
Althaea Officinalis,Plant Sources,Natural
Alum,Other Natural Sources,Natural
Aluminium Sulfate,Other Natural Sources,Natural
Aluminum,Other Natural Sources,Natural & Possibly Unsafe
Aluminum Hydroxide,Other Natural Sources,Natural
Aluminum Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Amaranth,Plant Sources,Natural
Amaranth Flour,Plant Sources,Natural
Amaretto,Plant Sources,Natural
American Cheese,Animal Sources,Natural
American Spikenard,Plant Sources,Natural
Amino Acid Chelate,"Other Natural SourcesAmino acid chelate can be made from many metals such as iron, copper, cobalt and zinc.",Natural
Amino Acids,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Aminogen,Plant Sources,Natural
Ammi Visnaga,Plant Sources,Natural
Ammonium Bicarbonate,Chemical (Synthetic) SourcesAmmonium bicarbonate is produced by combining carbon dioxide and ammonia. [1],Artificial
Ammonium Carbonate,"Other Natural Sources, Chemical (Synthetic) SourcesAmmonium carbonate is produced by contacting carbon dioxide and ammonia. [1]",Artificial
Ammonium Chloride,Other Natural Sources,Natural
Ammonium Phosphate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ammonium Sulfate,Chemical (Synthetic) Sources,Artificial
Amylase,"Animal Sources, Plant Sources",Natural
Amylopectin,Plant Sources,Natural
Anasazi Beans,Plant Sources,Natural
Anatase,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ancho Chilies,Plant Sources,Natural
Anchovies,Animal Sources,Natural
Andrographis Paniculata,Plant Sources,Natural
Andrographis Paniculta,Plant Sources,Natural
Anemarrhena,Plant Sources,Natural
Anethole,"Plant Sources, Other Natural Sources",Natural
Angelica,Plant Sources,Natural
Anhydrous Dextrose,Plant Sources,Natural
Anhydrous Milk Fat,Animal Sources,Natural
Animal By Products,Animal Sources,Natural
Animal Digest,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Animal Fat,Animal Sources,Natural
Animal Heart,Animal Sources,Natural
Animal Meal,Animal Sources,Natural
Animal Plasma,Animal Sources,Natural
Anis flavor,Plant Sources,Natural
Anise,Plant Sources,Natural
Anise Oil,Plant Sources,Natural
Annatto,Plant Sources,Natural
Anthocyanins,"Plant SourcesFood plants rich in anthocyanins include the blueberry, raspberry, black rice, and black soybean, among many others that are red, blue, purple, or black. [1]������Some colors seen in autumn leaves are derived from a",Natural
Antimony,Other Natural Sources,Natural & Possibly Unsafe
Apiaceae,Plant Sources,Natural
Apocarotenal,Plant Sources,Natural
Apocynum,Plant Sources,Natural
Apple Cider,Plant Sources,Natural
Apple Cider Vinegar,Plant Sources,Natural
Apple Fiber,Plant Sources,Natural
Apple Juice,Plant Sources,Natural
Apple Pomace,Plant Sources,Natural
Apple Powder,Plant Sources,Natural
Apple Sauce,Plant Sources,Natural
Apples,Plant Sources,Natural
Apricot Nectar,Plant Sources,Natural
Apricot Paste,Plant Sources,Natural
Apricots,Plant Sources,Natural
Arabinogalactan,"Plant Sources, Other Natural Sources",Natural
Arachidic Acid,Plant Sources,Natural
Arachidonic Acid,Plant Sources,Natural
Arborio Rice,Plant Sources,Natural
Arginine,Other Natural Sources,Natural
Arginine Alpha Ketoglutarate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Aril,Plant Sources,Natural
Arisaema Triphyllum,Plant Sources,Natural
Aromatic Madder,Plant Sources,Natural
Aronia,Plant Sources,Natural
Arrowroot,Plant Sources,Natural
Arsenic,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Artesian Well Water,Other Natural Sources,Natural
Artichoke Bottoms,Plant Sources,Natural
Artichoke Hearts,Plant Sources,Natural
Artichokes,Plant Sources,Natural
Artificial Colors,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Artificial Flavors,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Artists Conch,"Other Natural SourcesIt is a wood-decay fungus, using primarily dead heartwood, but also as a pathogen on live sapwood, particularly on older trees. [1]",Natural
Arugula,Plant Sources,Natural
Asafoetida,Plant Sources,Natural
Asclepias Tuberosa,Plant Sources,Natural
Ascorbyl Palmitate,Plant Sources,Natural
Asfoetida,Plant Sources,Natural
Ashwaganda,Plant Sources,Natural
Asiago Cheese,Animal Sources,Natural
Asian Pear,Plant Sources,Natural
Asiatic Dogwood,Plant Sources,Natural
Asparagus,Plant Sources,Natural
Aspartame,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Aspartame Acesulfame,Chemical (Synthetic) Sources,Artificial
Aspartate,"Animal Sources, Plant Sources",Natural
Aspergillus Niger,Plant Sources,Natural
Aspergillus Oryzae,Plant Sources,Natural
Astaxanthin,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Astragalus,Plant Sources,Natural
Astragalus Membranaceus,Plant Sources,Natural
Astragalus Membranicus,Plant Sources,Natural
Atalanti Olives,Plant Sources,Natural
Atmos,Other Natural Sources,Natural
Atractylis,Plant Sources,Natural
Atractylodes Root,Plant Sources,Natural
Avocado Oil,Plant Sources,Natural
Avocados,Plant Sources,Natural
Azodicarbonamide,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Azuki Beans,Plant Sources,Natural
B Vitamins,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Baby Corn,Plant Sources,Natural
Bacillus Coagulans,Other Natural Sources,Natural
Bacillus Licheniformis,Other Natural Sources,Natural
Bacillus Subtilis,Other Natural Sources,Natural
Bacon,Animal Sources,Natural
Bacopa,Plant Sources,Natural
Bacopa Monnieri,Plant Sources,Natural
Bael,Plant Sources,Natural
Bai Zhu,Plant Sources,Natural
Baking Powder,Other Natural Sources,Natural
Baking Soda,"Other Natural Sources, Chemical (Synthetic) SourcesSoda ash is the trade name for sodium carbonate, a chemical refined from the mineral trona or sodium-carbonate-bearing brines, both referred to as ""natural soda ash"". It is also manufactured from one of several chemical processes known as ""synthetic soda ash"". [3]",Both (Can be derived from Natural & Artificial Sources)
Balloon Vine,Plant Sources,Natural
Balsam Oil,Plant Sources,Natural
Balsamic Vinegar,Plant Sources,Natural
Bamboo Shoots,Plant Sources,Natural
Banana Chips,Plant Sources,Natural
Banana Peppers,Plant Sources,Natural
Bananas,Plant Sources,Natural
Baobab,Plant Sources,Natural
Barbecue Sauce,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Barberry,Plant Sources,Natural
Barium,"Other Natural SourcesSome foods, such as Brazil nuts, seaweed, fish, and certain vegetables, may contain higher amounts of barium. Very small amounts of barium in the diet may contribute to good health. [?]",Natural
Barley,Plant Sources,Natural
Barley Flour,Plant Sources,Natural
Barley Malt,Plant Sources,Natural
Bartlett Pears,Plant Sources,Natural
Basic Copper Chloride,Chemical (Synthetic) Sources,Artificial
Basil,Plant Sources,Natural
Basil Oil,Plant Sources,Natural
Basmati,Plant Sources,Natural
Bay Leaves,Plant Sources,Natural
Bayberry,Plant Sources,Natural
Bean Thread Noodles,Plant Sources,Natural
Beans,Plant Sources,Natural
Bearberry,Plant Sources,Natural
Bearberry Extract,Plant Sources,Natural
Bee Pollen,Plant Sources,Natural
Bee Propolis,Animal Sources,Natural
Beef,Animal Sources,Natural
Beef Broth,Animal Sources,Natural
Beef Shank Bone,Animal Sources,Natural
Beef Stock,Animal Sources,Natural
Beef Suet,Animal Sources,Natural
Beefsteak Plant,Plant Sources,Natural
Beeswax,"Animal Sources, Plant Sources",Natural
Beet Fiber,Plant Sources,Natural
Beet Juice,Plant Sources,Natural
Beet Powder,Plant Sources,Natural
Beet Pulp,Plant Sources,Natural
Beets,Plant Sources,Natural
Beleric,Plant Sources,Natural
Bell Peppers,Plant Sources,Natural
Belladonna,Plant Sources,Natural
Benfotiamine,Chemical (Synthetic) Sources,Artificial
Bentonite,Other Natural Sources,Natural
Benzaldehyde,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Benzoin,Plant Sources,Natural
Benzoyl Peroxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Bergamot,Plant Sources,Natural
Bergamot Oil,Plant Sources,Natural
Berries,Plant Sources,Natural
Berry Powder,Plant Sources,Natural
Beryllium,Other Natural Sources,Natural
Beta Alanine,"Animal Sources, Plant Sources",Natural
Beta Carotene,"Plant Sources, Chemical (Synthetic) SourcesBeta carotene can be obtained from natural plant sources or produced synthetically from acetone. [2]",Both (Can be derived from Natural & Artificial Sources)
Beta Glucanase,Plant Sources,Natural
Beta Glucans,Plant Sources,Natural
Beta Lactoglobulin,Animal Sources,Natural
Beta Sitosterol,Plant Sources,Natural
Betaine,Plant Sources,Natural
Betaine Hydrochloride,Plant Sources,Natural
Betalains,Plant Sources,Natural
Betatene,Plant Sources,Natural
Betony,Plant Sources,Natural
BHA,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
BHT,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Bhutanese Red Rice,Plant Sources,Natural
Bifidobacterium,Other Natural Sources,Natural
Bifidobacterium Animalis,"Animal Sources, Other Natural Sources",Natural
Bilberries,Plant Sources,Natural
Bioperine,Plant Sources,Natural
Biotin,"Animal Sources, Plant Sources",Natural
Birch,Plant Sources,Natural
Birch Oil,Plant Sources,Natural
Bishops Weed,Plant Sources,Natural
Bismuth,Other Natural Sources,Natural
Bison,Animal Sources,Natural
Bitter Melon,Plant Sources,Natural
Black Beans,Plant Sources,Natural
Black Cardamom,Plant Sources,Natural
Black Carrot Juice,Plant Sources,Natural
Black Catechu,Plant Sources,Natural
Black Cherries,Plant Sources,Natural
Black Cherry Juice,Plant Sources,Natural
Black Cohosh,Plant Sources,Natural
Black Cumin,Plant Sources,Natural
Black Currant,Plant Sources,Natural
Black Currant Oil,Plant Sources,Natural
Black Eyed Peas,Plant Sources,Natural
Black Gram,Plant Sources,Natural
Black Lime,Plant Sources,Natural
Black Malt,Plant Sources,Natural
Black Oil Sunflower Seeds,Plant Sources,Natural
Black Peas,Plant Sources,Natural
Black Pepper,Plant Sources,Natural
Black Rice,Plant Sources,Natural
Black Tea,Plant Sources,Natural
Black Truffle,Other Natural Sources,Natural
Black Walnut,Plant Sources,Natural
Blackberries,Plant Sources,Natural
Blackberry Juice,Plant Sources,Natural
Blackberry Leaves,Plant Sources,Natural
Blanched Almonds,Plant Sources,Natural
Bleached Flour,"Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesBleached flour can contain many additives that are natural or synthetic chemicals to bleach the flour. Also synthetic vitamins have been known to be added back into bleached flour to add back the nutrition that was removed during the refining process.",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Blessed Thistle,Plant Sources,Natural
Blood Meal,Animal Sources,Natural
Blood Orange,Plant Sources,Natural
Blood Worms,Animal Sources,Natural
Blue 1,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Blue 2,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Blue Cheese,Animal Sources,Natural
Blue Cypress Oil,Plant Sources,Natural
Blueberries,Plant Sources,Natural
Blueberry Leaf,Plant Sources,Natural
Bock Beer,Plant Sources,Natural
Bok Choy,Plant Sources,Natural
Boldo,Plant Sources,Natural
Bone Marrow,Animal Sources,Natural
Bone Meal,Animal Sources,Natural
Bone Phosphate,Animal Sources,Natural
Bonito,Animal Sources,Natural
Borage Oil,Plant Sources,Natural
Borax,Other Natural Sources,Natural
Boron,Other Natural Sources,Natural
Boswellia,Plant Sources,Natural
Bougainvillea,Plant Sources,Natural
Bourbon,Plant Sources,Natural
Bovine Adrenal,Animal Sources,Natural
Bovine Bone,Animal Sources,Natural
Bovine Cartilage,Animal Sources,Natural
Bovine Connective Tissue,Animal Sources,Natural
Bovine Kidney,Animal Sources,Natural
Bovine Liver,Animal Sources,Natural
Bovine Serum Albumin,Animal Sources,Natural
Bovine Spleen,Animal Sources,Natural
Bovine Trachea,Animal Sources,Natural
Boysenberry,Plant Sources,Natural
Bran,Plant Sources,Natural
Brandy,Plant Sources,Natural
Brassicasterol,Plant Sources,Natural
Brazil Nut,Plant Sources,Natural
Brazil Nut Flour,Plant Sources,Natural
Bread Crumbs,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Bread Starter,Plant Sources,Natural
Breadnut,Plant Sources,Natural
Breast Meat,Animal Sources,Natural
Brewers Rice,Plant Sources,Natural
Brewers Yeast,Other Natural Sources,Natural
Brine,Other Natural Sources,Natural
Brine Shrimp,Animal Sources,Natural
Broccolette,Plant Sources,Natural
Broccoli,Plant Sources,Natural
Bromelain,"Plant SourcesBromelain is extracted from plants in the plant family, Bromeliaceae. [1]",Natural
Brominated Vegetable Oil,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Bromine,Other Natural Sources,Natural
Broomrape,Plant Sources,Natural
Brown Algae,Plant Sources,Natural
Brown Rice,Plant Sources,Natural
Brown Sugar,Plant Sources,Natural
Brown Sugar Syrup,Plant Sources,Natural
Brussels Sprouts,Plant Sources,Natural
Buchu,Plant Sources,Natural
Buckthorn,Plant Sources,Natural
Buckwheat,Plant Sources,Natural
Buckwheat Flour,Plant Sources,Natural
Bufanolides,Plant Sources,Natural & Possibly Unsafe
Buffalo,Animal Sources,Natural
Buffered Lactic Acid,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Bulgur,Plant Sources,Natural
Bungleweed,Plant Sources,Natural
Bupleurum,Plant Sources,Natural
Bupleurum Root,Plant Sources,Natural
Burdock,Plant Sources,Natural
Burgundy Wine,Plant Sources,Natural
Butchers Broom,Plant Sources,Natural
Butter,Animal SourcesButter is made from milk. [1],Natural
Butter Beans,Plant Sources,Natural
Butter Cream,Animal Sources,Natural
Butter Fat,Animal Sources,Natural
Butter Oil,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Butterbur,Plant Sources,Natural
Buttermilk,Animal Sources,Natural
Butternut Squash,Plant Sources,Natural
Button Mushroom,Other Natural Sources,Natural
Cabbage,Plant Sources,Natural
Cabernet Wine,Plant Sources,Natural
Cabosil,Chemical (Synthetic) Sources,Artificial
Cacara Sagrada,Plant Sources,Natural
Cactus Powder,Plant Sources,Natural
Cadmium,Other Natural Sources,Natural
Caffeine,Plant Sources,Natural & Possibly Unsafe
Caftaric Acid,Plant Sources,Natural
Cajun Blacken,Plant Sources,Natural
Cake Flour,Plant Sources,Natural
Calcium,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Calcium Acetate,Other Natural Sources,Natural
Calcium Alpha Ketoglutarate,Other Natural Sources,Natural
Calcium Ascorbate,"Plant Sources, Other Natural Sources",Natural
Calcium Carbonate,Other Natural Sources,Natural
Calcium Caseinate,Animal Sources,Natural
Calcium Chloride,Other Natural Sources,Natural
Calcium Citrate,Other Natural Sources,Natural
Calcium Fumarate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Calcium Gluconate,Other Natural Sources,Natural
Calcium Glycerophosphate,Other Natural Sources,Natural
Calcium Hydroxide,Other Natural Sources,Natural
Calcium Iodate,"Other Natural SourcesTwo forms of calcium iodate are known as, anhydrous Ca(IO3)2 and the hexahydrate Ca(IO3)2(H2O). Both are colourless salts that occur naturally as the minerals called lautarite and bruggenite, respectively. [1]",Natural
Calcium Lactate,Plant Sources,Natural
Calcium Oxide,Other Natural Sources,Natural
Calcium Pantothenate,"Animal Sources, Plant SourcesSmall quantities of pantothenic acid are found in nearly every food, with high amounts in whole-grain cereals, legumes, eggs, meat, royal jelly, avocado, and yogurt. [1]",Natural
Calcium Peroxide,Other Natural Sources,Natural
Calcium Phosphate,Other Natural Sources,Natural
Calcium Propionate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Calcium Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Calcium Pyrophosphate,Chemical (Synthetic) Sources,Artificial
Calcium Pyruvate,"Plant Sources, Other Natural Sources",Natural
Calcium Silicate,"Other Natural Sources, Chemical (Synthetic) SourcesCalcium Silicate can be derived from naturally occurring limestone and diatomaceous earth, a siliceous sedimentary rock. It is one of a group of compounds that can be produced by reacting calcium oxide and silica. [1]",Both (Can be derived from Natural & Artificial Sources)
Calcium Stearate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Calcium Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Calendula,Plant Sources,Natural
Calendula Officinalis,Plant Sources,Natural
Campesterol,Plant Sources,Natural
Camu Camu,Plant Sources,Natural
Cananga Odorata,Plant Sources,Natural
Canary Beans,Plant Sources,Natural
Canary Grass,Plant Sources,Natural
Candelilla Wax,Plant Sources,Natural
Candida Albicans,Other Natural Sources,Natural
Candle Nut,Plant Sources,Natural
Cane Sugar,Plant Sources,Natural
Cane Vinegar,Plant Sources,Natural
Cannellini Beans,Plant Sources,Natural
Canola Meal,Plant Sources,Natural & Possibly Unsafe
Canola Oil,Plant Sources,Natural & Possibly Unsafe
Cantaloupe,Plant Sources,Natural
Canthaxanthin,"Plant Sources, Other Natural Sources",Natural
Caparve,"Plant Sources, Other Natural Sources",Natural
Cape Aloe,Plant Sources,Natural
Capers,Plant Sources,Natural
Caprylic Acid,"Animal Sources, Plant Sources",Natural
Capsaicin,Plant Sources,Natural
Caralluma Fimbriata,Plant Sources,Natural
Caramel,Plant Sources,Natural
Caramel Color,"Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesCaramel color is created in various ways but is usually created from cooking sugars and starches. Caramel color can also be made artificially.",Both (Can be derived from Natural & Artificial Sources)
Caramelized Sugar,Plant Sources,Natural
Caraway Seed,Plant Sources,Natural
Carbamide,Animal Sources,Natural
Carbogen,Other Natural Sources,Natural
Carbohydrate Gum,Plant Sources,Natural
Carbon,Other Natural Sources,Natural
Carbon Dioxide,Other Natural Sources,Natural
Carboxymethyl Cellulose,"Plant Sources, Chemical (Synthetic) SourcesIt is synthesized by the alkali-catalyzed reaction of cellulose with chloroacetic acid. The polar (organic acid) carboxyl groups render the cellulose soluble and chemically reactive. [1]",Artificial
Cardamom,Plant Sources,Natural
Cardamom Oil,Plant Sources,Natural
Carissa Carandas,"Plant SourcesCarissa carandas grows naturally in the Himalayas at elevations of 300 to 1800 meters, in the Siwalik Hills, the Western Ghats and in Nepal and Afghanistan. [1]",Natural
Carmine Color,Animal Sources,Natural & Possibly Unsafe
Carnauba Wax,Plant Sources,Natural
Carnitine,Animal Sources,Natural
Carnosine,Animal SourcesCarnosine is highly concentrated in muscle and brain tissues. [1],Natural
Carob Seeds Flour,Plant Sources,Natural
Carotenes,Plant Sources,Natural
Carotenoids,"Animal Sources, Plant Sources, Other Natural SourcesBeta-carotene, found in pumpkins, sweet potato, carrots and winter squash, is responsible for their orange-yellow colors. [1]

Although green, kale, spinach, collard greens, and turnip greens contain substantial amounts of beta-carotene. [1]
Carotenoids from the diet are stored in the fatty tissues of animals, and exclusively carnivorous animals obtain the compounds from animal fat. [1]",Natural
Carp,Animal Sources,Natural
Carrageenan,Plant Sources,Natural
Carrot Fiber,Plant Sources,Natural
Carrot Oil,Plant Sources,Natural
Carrot Powder,Plant Sources,Natural
Carrots,Plant Sources,Natural
Carthamus,Plant Sources,Natural
Cascara Sagrada,Plant SourcesSourced from the Cascara Sagrada plant.,Natural
Casein,Animal Sources,Natural
Casein Hydrolysate,"Animal Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Cashew Butter,Plant Sources,Natural
Cashew Flour,Plant Sources,Natural
Cashews,Plant Sources,Natural
Cassava,Plant Sources,Natural
Cassia,Plant Sources,Natural
Cassia Gum,Plant Sources,Natural
Castor Oil,Plant Sources,Natural
Catechu,Plant Sources,Natural
Catfish,Animal Sources,Natural
Catnip,Plant Sources,Natural
Cats Claw,Plant Sources,Natural
Catuaba Bark,Plant SourcesThe most widely used barks are derived from the trees Trichilia catigua and Erythroxylum vacciniifolium. [1],Natural
Cauliflower,Plant Sources,Natural
Caviar,Animal Sources,Natural
Cayenne Pepper,Plant Sources,Natural
Ceanothus,Plant Sources,Natural
Celandine,Plant Sources,Natural
Celastrus,Plant Sources,Natural
Celeriac,Plant Sources,Natural
Celery,Plant Sources,Natural
Celery Seed,Plant Sources,Natural
Cellulase,Plant Sources,Natural
Cellulose,Plant Sources,Natural
Cellulose Gum,Plant Sources,Natural
Cephalin,Animal Sources,Natural
Cerasee,Plant Sources,Natural
Ceratonia Siliqua,Plant Sources,Natural
Cereal Germ,Plant Sources,Natural
Cereal Grain,Plant Sources,Natural
Cereal Solids,Plant Sources,Natural
Cerium,Other Natural Sources,Natural
Certified Food Coloring,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Cesium,Other Natural Sources,Natural
Cetyl Myristoleate,Plant Sources,Natural
Ceylon Green Tea,Plant Sources,Natural
Chablis Wine,Plant Sources,Natural
Chaga,Other Natural SourcesChaga is a fungus and parasitic on birch and other trees. [1],Natural
Chamaelirum,Plant Sources,Natural
Chamomile,Plant Sources,Natural
Chamomile Oil,Plant Sources,Natural
Chamomilla,Plant Sources,Natural
Champignon,Plant Sources,Natural
Chana Masala,"Plant Sources, Other Natural Sources",Natural
Chanterelle Mushrooms,Other Natural Sources,Natural
Chaparral,Plant Sources,Natural
Charcoal,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Chard,Plant Sources,Natural
Chasteberry,Plant Sources,Natural
Chastetree Berry Extract,Plant Sources,Natural
Chayote,Plant Sources,Natural
Cheddar Cheese,Animal Sources,Natural
Cheese,Animal Sources,Natural
Cheese Cultures,Other Natural Sources,Natural
Cheese Meal,Animal Sources,Natural
Chelated Minerals,"Plant Sources, Other Natural Sources",Natural
Cherimoyas,Plant Sources,Natural
Cherries,Plant Sources,Natural
Cherry Bark,Plant Sources,Natural
Cherry Extract,Plant Sources,Natural
Cherry Juice,Plant Sources,Natural
Cherry Tomatoes,Plant Sources,Natural
Chervil,Plant Sources,Natural
Chestnuts,Plant Sources,Natural
Chia,Plant Sources,Natural
Chia Meal,Plant Sources,Natural
Chia Seed Oil,Plant Sources,Natural
Chia Seeds,Plant Sources,Natural
Chianti Wine,Plant Sources,Natural
Chicken,Animal Sources,Natural
Chicken Broth,"Animal Sources, Plant Sources",Natural
Chicken Fat,Animal Sources,Natural
Chicken Meal,Animal Sources,Natural
Chicken Powder,Animal Sources,Natural
Chicken Stock,"Animal Sources, Plant Sources",Natural
Chickpeas,Plant Sources,Natural
Chickweed,Plant Sources,Natural
Chicory,Plant Sources,Natural
Chile De Arbol,Plant Sources,Natural
Chili Oil,Plant Sources,Natural
Chili Peppers,Plant SourcesChili peppers are known as vegetables and used as a spice but are truly a fruit. [1],Natural
Chili Powder,Plant Sources,Natural
Chinese Cabbage,Plant Sources,Natural
Chinese Licorice,Plant Sources,Natural
Chinese Mint Leaf,Plant Sources,Natural
Chinese Scullcap,Plant Sources,Natural
Chinese Senna,Plant Sources,Natural
Chinese Yams,Plant Sources,Natural
Chipotle,Plant Sources,Natural
Chitosan,Animal Sources,Natural
Chives,Plant Sources,Natural
Chlorella,Plant Sources,Natural
Chloride,Other Natural Sources,Natural & Possibly Unsafe
Chlorine,Other Natural Sources,Natural & Possibly Unsafe
Chlorogenic Acid,Plant Sources,Natural
Chlorophyll,Plant Sources,Natural
Chlorophyllin,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Chocolate,Plant Sources,Natural
Chocolate Chips,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Chocolate Liquor,Plant Sources,Natural
Cholecalciferol,"Animal Sources, Chemical (Synthetic) SourcesIndustrial produced xholecalciferol is produced by the ultraviolet irradiation of 7-dehydrocholesterol extracted from lanolin found in sheep's wool. [1]",Both (Can be derived from Natural & Artificial Sources)
